id,name,rarity,baseProperty1,baseProperty2,intro,skillname,skillDesc,obtain,tag,label
33,试作金珀,4,生命值9.0%,基础攻击力42,黑岩厂中秘藏的金珀法器。其中黯黯绽放着日月星光。,炊金,施放元素爆发后6秒内，每2秒恢复4/4.5/5/5.5/6点元素能量，队伍中的所有角色每2秒恢复4%/4.5%/5%/5.5%/6%生命值。,锻造,能量回复、生命回复,weapon
34,忍冬之果,4,攻击力9.0%,基础攻击力42,具有某种冰冷意志的奇特果实，散发着微弱的苦涩气息。,霜葬,普通攻击与重击命中敌人时，有60%/70%/80%/90/100%概率在敌人上方生成恒冰晶核并坠落，造成80%/95%/110%/125%/140%攻击力的范围伤害。若敌人处于冰元素影响下，则造成200%/240%/280%/320%/360%攻击力的伤害。该效果每10秒至多触发一次。,锻造,额外伤害、冰,weapon
35,西风秘典,4,元素充能效率10.0％,基础攻击力42,西风骑士团的学者间流传的秘典，记载着元素与物质的道理和力量。,顺风而行,攻击造成暴击时，有60％/70％/80％/90％/100％的几率产生少量元素微粒，能为角色恢复6点元素能量。该效果每12/10.5/9/7.5/6秒只能触发一次,祈愿,能量回复、自身限制,weapon
36,匣里日月,4,暴击率6.0%,基础攻击力42,材质难解的暗金宝珠，饱含日月天地的光辉，脉动着温暖的力量。,日月辉,普通攻击命中后的6秒内，元素战技与元素爆发的伤害提高20%/25%/30%/35%/40%；元素战技与元素爆发命中后的6秒内，普通攻击的伤害提高20%/25%/30%/35%/40%。,纪行,元素战技、元素爆发、普通攻击,weapon
37,流浪乐章,4,暴击伤害12.0％,基础攻击力42,记载着歌谱的厚重记事簿。尽管遭受了虫蛀和风化，残留的手迹仍透露出力量,登场乐,角色登场时，随机获得一个主题曲，持续10秒。每30秒只能触发一次。宣叙调：攻击力提升60%/75%/90%/105%/120%；咏叹调：全元素伤害提升48%/60％/72%/84%/96%；间奏曲：元素精通提升240/300/360/420/480。,祈愿,攻击力、元素伤害、元素精通,weapon
38,宗室秘法录,4,攻击力6.0%,基础攻击力44,属于曾支配蒙德的贵族麾下的宫廷魔导师，其中记载的史话与法术同样翔实。,专注,攻击造成伤害时，暴击率提升8%/10%/12%/14%/16%，最多堆叠5次。攻击造成暴击后，移除已有的专注效果。,商城兑换,暴击率、层数叠加,weapon
39,异世界行记,3,元素充能效率8.5%,基础攻击力39,廉价的幻想小说，不具备参考价值。作为法器的力量当然也来自幻想。,能量沐浴,获得元素微粒或元素晶球时，恢复1%/1.25%/1.5%/1.75%/2%生命值。,宝箱、（蒙德区域宝箱）,生命回复,weapon
40,讨龙英杰谭,3,生命值7.7%,基础攻击力39,五名英雄踏上屠龙征途的虚构故事。文笔很差，结构散乱。失败的教训是这本书所拥有的伟大力量。,传承,主动切换角色时，新登场的角色攻击力提升24%/30%/36%/42%/48%，持续10秒。该效果每20秒只能触发一次。,祈愿,攻击力,weapon
41,魔导绪论,3,元素精通41,基础攻击力38,第十二版。结合时代发展加注了新内容，并修订了第十一版的错别字。,止水息雷,对处于水元素或雷元素影响下的敌人，造成的伤害提高12%/15%/18%/21%/24%.,祈愿,水、雷、伤害加成,weapon
42,甲级宝珏,3,暴击率3.4%,基础攻击力40,两块玉石拼成的精致玉佩。,奔袭战术,击败敌人后的15秒内，移动速度和攻击力提升12%/14%/16%/18%/20%。,宝箱、（璃月区域宝箱）,攻击力、移动速度,weapon
43,翡玉法球,3,元素精通20,基础攻击力40,由璃月北郊绝云间出产的硬玉雕琢而成的法器。小巧轻盈，经久耐用，江湖人称「翡玉丸」。,激流,触发蒸发、感电、冰冻、或水元素扩散反应后的12秒内，攻击力提高20%/25%/30%/35%/40%。,祈愿,元素反应、攻击力、水,weapon
44,口袋魔导书,2,N/A,基础攻击力33,精心编纂，只留下考试重点的魔导参考小册。,N/A,N/A,宝箱、商店购买,N/A,weapon
45,学徒笔记,1,N/A,基础攻击力23,某个优等生留下的学习笔记，娟秀的字迹非常好看。记录了不少实用的咒语。,N/A,N/A,初始武器赠送、宝箱、商店购买,N/A,weapon
46,终末嗟叹之诗,5,元素充能效率12.0%,基础攻击力46,如同诗人的乐器一般优美的弓，放出的箭矢如同叹息声一般穿透人心。,离别的思念之歌,N/A,限定祈愿,元素精通、攻击力、层数叠加,weapon
47,阿莫斯之弓,5,攻击力10.8%,基础攻击力46,N/A,矢志不忘,·普通攻击和重击造成的伤害提升12%/15%/18%/21%/24%;箭矢发射后每经过0.1秒，伤害还会提升8%/10%/12%/14%/16%。至多提升5次。,祈愿,普通攻击、重击、伤害加成、层数叠加,weapon
48,天空之翼,5,暴击率4.8%,基础攻击力48,象征风龙身为风之神眷属的大弓。释弦时的鸣声是风之神的偏爱，蕴含苍空与长风的力量。,回响长天的诗歌,暴击伤害提高20%/25%/30%/35%/40%；攻击命中时有60%/70%/80%/90%/100%概率造成125%攻击力的小范围物理伤害，该效果每4秒/3.5秒/3秒/2.5秒/2秒只能触发一次。,祈愿,暴击伤害、额外伤害,weapon
49,冬极白星,5,暴击率7.2%,基础攻击力46,N/A,极昼的先兆者,元素战技和元素爆发造成的伤害提高12%/15%/18%/21%/24%；普通攻击、重击、元素战技或元素爆发命中敌人后，将产生1层持续12秒的「白夜极星」效果。处于1/2/3/4层「白夜极星」效果下时，攻击力将提高(10/20/30/48%)/‌(12.5/25/37.5/60%)/‌(15/30/45/72%)/‌(17.5/35/52.5/84%)/‌(20/40/60/96%)。由普通攻击、重击、元素战技或元素爆发产生的「白夜极星」将分别独立存在。,限定祈愿,伤害加成、攻击力,weapon
50,飞雷之弦振,5,暴击伤害14.4%,基础攻击力46,曾由将军御赐的长弓，闪烁着永不熄灭的雷光。,飞雷御执,攻击力提高20%/25%/30%/35%/40%，并能获得「飞雷之巴印」的威势。飞雷之巴印：持有1/2/3层飞雷之巴印时，普通攻击造成的伤害提高(12/24/40%)/‌(15/30/50%)/‌(18/36/60%)/‌(21/42/70%)/‌(24/48/80%)。在下列情况下，角色将各获得1层飞雷之巴印：普通攻击造成伤害时，持续5秒；施放元素战技时，持续10秒；此外，角色元素能量低于100%时，将获得1层飞雷之巴印，此飞雷之巴印会在角色的元素能量充满时消失。每层飞雷之巴印的持续时间独立计算。,限定祈愿,普通攻击、伤害加成、层数叠加,weapon
51,宗室长弓,4,攻击力9.0%,基础攻击力42,曾支配蒙德的旧日贵族的长弓。经过世代，弓弦仍十分有力，击发迅猛。,专注,攻击造成伤害时，暴击率提升8%/10%/12%/14%/16%，最多堆叠5次。攻击造成暴击后，移除已有的专注效果。,商城兑换,暴击率、层数叠加,weapon
52,试作澹月,4,攻击力9.0%,基础攻击力42,黑岩厂中秘藏的原型长弓。放矢之姿有如透过薄暮的月光。,离簇不归,瞄准射击时，若命中要害，则提升10%移动速度与36%/45%/54%/63%/72%攻击力，持续10秒。,锻造,攻击力、移动速度、对象限制,weapon
53,黑岩战弓,4,暴击伤害8.0%,基础攻击力44,N/A,乘胜追击,"击败敌人后,攻击力提升12%/15%/18%/21%/24%,持续30秒。该效果至多叠加3层,每层持续时间独立。",商城兑换,对象限制、层数叠加,weapon
54,弓藏,4,攻击力9.0%,基础攻击力42,布满锈迹的铁造大弓，一般人根本拿不动，遑论引弓放矢。,速射弓斗,普通攻击伤害提升40%/50%/60%/70%/80%，重击伤害下降10%。,祈愿,普通攻击、伤害加成、负面效果、重击、（将瞄准射击视为重击进行分类）,weapon
55,西风猎弓,4,元素充能效率13.3％,基础攻击力41,西风骑士团的制式反曲弓，只有杰出的弓手能与它的杰出性能相衬。,顺风而行,攻击造成暴击时，有60%/70%/80%/90%/100%的几率产生少量元素微粒，能为角色恢复6点元素能量。该效果每12/10.5/9/7.5/6秒只能触发一次。,祈愿、任务、（巨龙与自由之歌）,能量回复、自身限制,weapon
56,钢轮弓,4,物理伤害加成15.0%,基础攻击力41,以金属制成，用滑轮引弦的复合弓，来自异国。护养极其困难，但引弓轻松，威力惊人。,注能之矢,普通攻击和瞄准攻击命中时，提升4%/5%/6%/7%/8%攻击力与1.2%/1.5%/1.8%/2.1%/2.4%普通攻击速度。该效果持续6秒，最多可以叠加4层，每0.3秒只能触发一次。,锻造,物理伤害、攻击力、攻击速度、层数叠加,weapon
57,幽夜华尔兹,4,物理伤害加成11.3%,基础攻击力42,有着如同罪与幻想之夜一般颜色的弓。,极夜二重奏,普通攻击命中敌人后的5秒内，元素战技造成的伤害提升20%/25%/30%/35%/40%；元素战技命中敌人后的5秒内，普通攻击造成的伤害提升20%/25%/30%/35%/40%。,限定祈愿,物理伤害加成、普通攻击、元素战技,weapon
58,风花之颂,4,元素精通36,基础攻击力42,N/A,风花之愿,施放元素战技时，获得风之花的悠古愿望加持，攻击力提升16%/20%/24%/28%/32%，持续6秒,活动,攻击力、元素战技,weapon
59,绝弦,4,元素精通36,基础攻击力42,曾经作为乐器大放异彩的弓。如今已经不再能令人起舞,N/A,元素战技与元素爆发的伤害提高24％/30%/36%/42%/48%。,祈愿,元素战技，元素爆发、伤害加成,weapon
60,苍翠猎弓,4,暴击率6.0%,基础攻击力42,高洁的青绿猎弓，曾属于在林间狩猎的某人。,苍翠之风,普通攻击与重击命中时，有50%几率生成一个风之眼，持续吸引周围敌人，并对其中的敌人每0.5秒造成40%/50%/60%/70%/80%攻击力的伤害。该效果持续4秒，每14/13/12/11/10秒至多触发一次。,纪行,额外伤害、控制,weapon
61,掠食者,4,攻击力9.0%,基础攻击力42,设计风格相当独特的弓。应该不属于这个世界。,强力攻击,"·仅在“PlayStation NetWork”游玩时生效。
·对敌人造成冰元素伤害后，普通攻击与重击造成的伤害提高10%，效果持续6秒，至多叠加2次；此外，埃洛伊装备掠食者时，攻击力提升66点。",2.1版本更新完后，旅行者通过PlayStation平台登录游戏，可在冒险等阶达到20级后，通过游戏内邮件免费获得该武器。,自身限制、攻击力、层数叠加、普通攻击、重击,weapon
62,祭礼弓,4,元素充能效率6.7％,基础攻击力44,在漫长岁月中石化的道具猎弓，上面的仪式性装饰依然清晰可见。拥有受时间之风冲刷的祝福力量,气定神闲,元素战技造成伤害时，有40％/50%/60%/70%/80%的概率重置该技能的冷却时间，该效果每30/26/22/19/16秒只能触发一次。,祈愿,元素战技,weapon
63,暗巷猎手,4,攻击力6%,基础攻击力44,外形精巧奢华的长弓，曾属于某位从未被抓获的义贼。,街巷伏击,"装备该武器的角色处于队伍后台时，每1秒角色造成的伤害提升2%/2.5%/3%/3.5%/4%,最多通过这种方式获得20%/25%/30%/35%/40%的伤害提升；在场上超过4秒后，上述伤害提升效果每1秒会流失4%/5%/6%/7%/8%，直到降低至0%。",限定祈愿,伤害加成、层数叠加、对象限制,weapon
64,破魔之弓,4,攻击力12%,基础攻击力41,曾经属于某个巫女【浅濑响】的战弓。以优越的技法打造，精巧而耐用。,浅濑之弭,普通攻击造成的伤害提升16%/20%/24%/28%/32%，重击造成的伤害提升12%/15%/18%/21%/24%。当装备该武器的角色元素能量等于100%时，这个效果提升100%。,锻造、奇怪的海螺兑换阿敬的宝箱大奖可获得锻造图纸,普通攻击、重击、自身限制,weapon
65,弹弓,3,暴击率6.8%,基础攻击力38,N/A,弹弓,普通攻击和瞄准射击时，箭矢若在发射后的0.3秒内击中敌人，则造成的伤害增加36%/42%/48%/54%/60%；否则，造成的伤害下降10%。,祈愿、宝箱,伤害加成、负面效果,weapon
66,信使,3,暴击伤害6.8%,基础攻击力40,造型简单的木制弓。传说它曾被人用作远程通讯的道具。,飞矢传书,瞄准射击时，若命中要害，则额外造成100%/125%/150%/175%/200%攻击力的伤害，该伤害必定暴击。此效果每10秒只能触发一次。,蒙德宝箱,对象限制、额外伤害,weapon
67,鸦羽弓,3,元素精通20,基础攻击力40,相传渡鸦是死的使者。将鸦羽装饰在弓臂上，射出的每一箭都宣告着猎物的终末。,踏火止水,对处于火元素或水元素影响下的敌人，造成的伤害提高12%/15%/18%/21%/24%。,祈愿,火、水、伤害加成,weapon
68,神射手之誓,3,暴击伤害10.2%,基础攻击力39,据说曾属于技艺高强的射手，是一把上好的弓。因为散发出强烈的气息，难以用于狩猎。,精准,针对要害造成的伤害提升24%/30%/36%/42%/48%。,祈愿,对象限制、伤害加成,weapon
69,历练的猎弓,2,N/A,基础攻击力33,饱经磨练又精心护养的弓，经历了漫长的岁月。仿佛会主动配合射手的动作一般好使。,N/A,N/A,宝箱、商店购买,N/A,weapon
70,狼的末路,5,攻击力10.8%,基础攻击力46,狼的骑士所使的大剑。原本只是城中铁匠赠予的厚重的铁片，却在他与狼的情谊中，获得神话般的力量。,如狼般狩猎者,攻击力提高20%/25%/30%/35%/40%；攻击命中生命值低于30%的敌人时，队伍中所有成员的攻击力提高40%/50%/60%/70%/80%，持续12秒。该效果30秒只能触发一次。,祈愿,攻击力、对象限制,weapon
71,松籁响起之时,5,物理伤害加成4.5%,基础攻击力49,"如同翻弄草木的息吹一般轻盈的大剑,如同吹倒树木的飓风一般摧枯拉朽的武器。",揭旗的叛逆之歌,N/A,限定祈愿,物理伤害加成、攻击力、攻击速度,weapon
72,天空之傲,5,元素充能效率8%,基础攻击力48,象征风龙的骄傲广布长空的双手剑。挥舞时的低吟是风龙的气势，蕴含苍空与长风的力量。,斩裂晴空的龙脊,造成的伤害提高8%/10%/12%/14%/16%;施放元素爆发后，普通攻击和重击命中时会发出真空刃，对路径上的敌人造成80%/100%/120%/140%/160%攻击力的伤害，持续20秒或直至发出8次真空刃。,祈愿,伤害加成、额外伤害,weapon
73,黑岩斩刀,4,暴击伤害12.0%,基础攻击力42,N/A,乘胜追击,"击败敌人后,攻击力提升12%/15%/18%/21%/24%,持续30秒。该效果至多叠加3层，每层持续时间独立。",商城兑换,对象限制、层数叠加,weapon
74,反曲弓,3,生命值10.2%,基础攻击力38,据说能射下苍鹰的猎弓，但能不能做到主要还得看弓手的技术。,收割,击败敌人时，恢复8%/10%/12%/14%/16%生命值。,宝箱,生命回复、对象限制,weapon
75,猎弓,1,N/A,基础攻击力23,猎手演奏的音乐由两种音色组成。弓弦颤动的声音，和羽箭破空的低啸。,N/A,N/A,初始武器赠送、宝箱、商店购买,N/A,weapon
76,N/A,5,攻击力10.8%,基础攻击力46,N/A,金璋皇极,护盾强效提升20%/25%/30%/35%/40%。攻击命中后的8秒内，攻击力提升4%/5%/6%/7%/8%。该效果至多可叠加5层，每0.3秒只能触发一次。此外，处于护盾庇护下时，该效果的攻击力提升效果提高100%。,限定祈愿,攻击力、护盾强效、层数叠加、护盾庇护,weapon
77,祭礼大剑,4,元素充能效率6.7%,基础攻击力44,在漫长岁月中石化的道具大剑，上面的仪式性装饰依然清晰可见。拥有受时间之风冲刷的祝福力量。,气定神闲,元素战技造成伤害时，有40%/50%/60%/70%/80%概率重置该技能的冷却时间，该效果每30/26/22/19/16秒只能触发一次。,祈愿,元素战技,weapon
78,宗室大剑,4,攻击力6.0%,基础攻击力44,曾支配蒙德的旧日贵族的大剑，用料极佳，历久犹弥新。是贵族的战斗兵器。,专注,攻击造成伤害时，暴击率提升8%/10%/12%/14%/16%，最多堆叠5次。攻击造成暴击后，移除已有的专注效果。,商城兑换,暴击率、层数叠加,weapon
79,雨裁,4,元素精通36,基础攻击力42,N/A,止水息雷,对处于水元素或雷元素影响下的敌人，造成的伤害提高20％/24%/28%/32%/36%。,祈愿,伤害加成、水、雷,weapon
80,白影剑,4,防御力11.3%,基础攻击力42,剑身上有一面未开刃的异国大剑，经商路流落到璃月。在了解它的人手里，破坏力极可观。,注能之锋,普通攻击和重击命中后，攻击力和防御力提高6%/7.5%/9%/10.5%/12%。该效果持续6秒，最多叠加4层，每0.5秒只能触发一次。,锻造,防御力、攻击力、层数叠加,weapon
81,衔珠海皇,4,攻击力12%,基础攻击力41,海中的大王。经过风干，是趁手的兵器以及应急食品。,海洋的胜利,元素爆发造成的伤害提升12%/15%/18%/21%/24%。元素爆发命中敌人时，有100%概率召唤大鲔冲击，造成100%/125%/150%/175%/200%攻击力的范围伤害。该效果每15秒至多触发一次。,活动,元素爆发、额外伤害,weapon
82,恶王丸,4,攻击力9.0%,基础攻击力42,传说中「恶王」的爱刀，刀身庞大雄伟，但挥舞起来却出乎意料地轻便。,驭浪的海祇民,队伍中所有角色的元素能量上限的总和，每1点能使装备此武器的角色的元素爆发造成的伤害提高0.12%/0.15%/0.18%/0.21%/0.24%，通过这种方式，元素爆发造成的伤害至多提高40%/50%/60%/70%/80%。,限定祈愿,元素爆发,weapon
83,千岩古剑,4,攻击力9.0%,基础攻击力42,以璃月的基岩为原料削凿成的厚重大剑。,千岩诀·同心,队伍中每有一位璃月角色，装备该武器的角色便获得7%/8%/9%/10%/11%攻击力提升与3%/4%/5%/6%/7%暴击率提升。至多获得4层提升效果。,限定祈愿,攻击力、暴击率,weapon
84,钟剑,4,生命值9.0%,基础攻击力42,装有时钟的厚重大剑，其中的计时机关早已被破坏。,叛逆的守护者,受到伤害时，生成一个伤害吸收等同于生命上限20%/23%/26%/29%/32%的护盾，持续10秒或者直到护盾失效，每45秒只能触发一次。角色处于护盾庇护下时，造成的伤害提升12%/15%/18%/21%/24%。,祈愿,护盾、护盾庇护、伤害加成,weapon
